ลำดับ,ลำดับ,ชื่อเพลง,ชื่อศิลปิน,Link เพลง (เก่า),เวลา (เก่า),ชื่อคนเสนอ,เลือก (เก่า),หมายเหตุ (เก่า),Link เพลง,ช่วงเวลาเพลง เริ่ม,ช่วงเวลาเพลง จบ,ชื่อผู้เสนอเพลง + ชั้นปี,ความคืบหน้า,หมายเหตุ,,รวมเลือก (G),85
81,138,smart,LE SSERAFIM,https://youtu.be/KNexS61fjus?si=dcPLLXKzyYfdSHnw,0.53-1.24,ภพ ปี2,1,,https://www.youtube.com/watch?v=KNexS61fjus,00:00:53,00:01:24,ภพ ปี2,ไม่ได้เริ่ม,,,,
82,139,love shot,exo,https://youtu.be/pSudEWBAYRE?si=BuajyyxyJNbzUCCH,0:43 - 1:15,ถั่ว ปี3,1,,https://www.youtube.com/watch?v=pSudEWBAYRE,00:00:43,00:01:15,ถั่ว ปี3,ไม่ได้เริ่ม,,,,
83,141,igloo,kiss of life,https://youtu.be/bax4vZdc8nI?si=RhV24BeOXBgJGrqt,0.14-0.35,,1,,https://www.youtube.com/watch?v=bax4vZdc8nI,00:00:14,00:00:35,,ไม่ได้เริ่ม,,,,
84,142,แค่ไหนแค่นั้น,BUS,https://youtu.be/FuadV-aiigQ?si=tzjINiYDM_zTpEBO,1.26-2.04,,1,,https://www.youtube.com/watch?v=FuadV-aiigQ,00:01:26,00:02:04,,ไม่ได้เริ่ม,,,,
85,143,ยายแล่ม,ลำไย,https://youtu.be/87rWDR7TjGU?si=IaxapYk0iSH1vYCh,0.10-0.46,,1,,https://www.youtube.com/watch?v=87rWDR7TjGU,00:00:10,00:00:46,,ไม่ได้เริ่ม,,,,
86,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
87,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
88,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
89,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
90,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
91,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
92,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
93,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
94,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
95,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
96,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
97,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
98,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
99,,,,,,,,,,,,,ไม่ได้เริ่ม,,,,
